Name,Ticker,"Sub-Sector","Market Cap","Percentage Upside","Percentage Buy Reco’s","Price to Intrinsic Value Rank","Price Momentum Rank","Earnings Quality Rank","Value Momentum Rank","Fundamental Score","Basis","Rollover Cost","Fair Value","Highest Put OI Strike","Future Open Interest","Percentage Rollover","Call Open Interest","Fair Value Spread","1D Change in Put OI","1W Change in Future Volume","Highest 1W OI Change PE Strike","Put Call Ratio","1 D Change in Call OI","Put Open Interest","Highest 1D OI Change PE Strike","Future Volume","Calendar Spread","1W Change in Put OI","Highest 1D OI Change CE Strike","Highest 1W OI Change CE Strike","Highest Call OI Strike","1D Change in Future OI","% Price above 1M SMA","Beta","% Price above 1M EMA","1W Change in On Balance Volume","Relative Volume","Super Trend","Alpha","ADX Rating – Trend Strength","Volatility","Stochastic %K","William %R","RSI – 14D","Stochastic %D"
Cipla Ltd,CIPLA,"Pharmaceuticals","63086.02476419","10.036990758818183","81.0810810810811","42","86","80","66","5.023999999999999","-2.3500000000000227","0.641025641025641","783.435611183132","700","12104300","3.393803505911129","8089900","-3.435611183131982","8.521400778210108","-0.016470588235294126","830","0.4481761208420376","-0.0906035364606167","3625700","600","15215200","5","29.480037140204264","840","960","800","-1.502168623717337","0.3788182538435","0.461903760033214","0.8900977287425116","-5.4569652899252175","0.9080086329142808","744.2750000000001","7.94251036215735","25.4887266295548","41.175593369105","36.44414168937331","-63.55585831062669","53.7960954446855","39.98472856534376"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","62020.2847585","-5.631240373343406","48.837209302325604","30","66","95","40","6.808333333333333","-10.400000000000091","0.4115954857269388","2273.0497780080414","2000","2199400","2.716887928372955","513800","-13.549778008041358","4.880952380952386","0.0778816199376946","2300","0.6001362397820164","-0.07556675062972296","308350","2200","1089900","9.300000000000182","5.005959475566146","2550","2300","2300","0.09557183816502057","4.1843087846847","0.853330796502011","3.24124037419109","0.7149251929819267","0.6436496131387112","2080.4071428571433","-12.9754040288996","25.6525258361588","45.7413404012831","81.0112036771044","-18.988796322895592","73.0909090909091","84.72589615255976"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","59553.815259225004","21.94364851957976","76.6666666666667","11","33","55","5",,"0.9499999999999886","0.20447438056291142","415.32551893424164","400","6532500","2.3406152474364688","1453500","0.3744810657583457","1.810865191146882","0.08629989212513478","370","0.52218782249742","-0.01021450459652706","759000","360","1510500","0.8500000000000227","-20.9375","420","410","450","-0.45714285714285596","-1.3040477833567","0.951710287657095","-2.134758066107545","-3.9745450242794087","0.8535796421730112","443.8607142857143","0.503273189146964","22.9749952026343","61.0600154510664","27.03412073490815","-72.96587926509184","49.9262536873156","45.1626527774128"
Berger Paints India Ltd,BERGEPAINT,"Paints","58603.401525199995","-26.1027366306804","4.5454545454545","5","76","70","13","5.107272727272727","1.3500000000000227","0.20669698222405952","604.2372950570739","580","3738900","1.6464471403812824","951500","0.5127049429261206","1.2195121951219519","-0.12808641975308643","590","0.2878612716763006","-0.00115473441108549","273900","610","1243000","1.25","3.319502074688807","630","630","620","-0.17621145374449032","2.0851837753247002","0.740553423908173","1.8340795638813967","-1.6213878511285411","0.8266414166158146","566.2714285714286","25.2855879054268","21.2629758233583","38.508593760368","66.81318681318676","-33.18681318681323","61.8887015177066","66.47165277540397"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","56308.86063678","13.598388837804327","65","32","41","67","18",,,,,,,,,,,,,,,,,,,,,,,,"-1.4241954091578",,"-1.2751704362261918","-0.09581765389676199","0.9299435989864905","1339.75","15.9372093413548","21.0735210825136","48.2398547758209","33.62910381543929","-66.3708961845607","44.9578469520104","39.544513457557"
Larsen & Toubro Infotech Ltd,LTI,"IT Services & Consulting","53674.677056714994","-16.308149676166778","65.625","37","93","96","72","6.446739130434783",,,,,,,,,,,,,,,,,,,,,,,"11.1459491988394","0.874427770230783","7.817662700523154","7.379942968451046","2.0904502039067374","2682.835714285715","45.4340277091473","45.2116713704519","44.718041999879595","58.18920210224561","-41.81079789775439","73.2031943212068","74.68709741419323"
Biocon Ltd,BIOCON,"Biotechnology","53197.533094709994","5.266259084092741","47.6190476190476","21","95","24","44","5.45","-1.5","0.6048387096774167","448.52151882012504","420","11927800","6.392371534522338","5904100","-2.1215188201250044","-1.791530944625408","-0.4754002056102218","440","0.4698091156992598","-0.07562117392870005","2773800","440","8215600","2.6999999999999886","-0.41288191577208977","450","500","500","-1.8546555639666895","0.6138139015090001","0.691980097057488","0.9009693456086154","0.1697372757352336","0.7695081623579715","416.4392857142857","29.1563625772885","26.0344590460787","40.6514214713194","39.83903420523131","-60.16096579476869","57.0667613636364","43.51154373259785"
Interglobe Aviation Ltd,INDIGO,"Airlines","51164.437237235004","0.7135470527404211","72.72727272727269",,"21","45","3","8.499999999999998","10.200000000000045","-0.43288427809084457","1331.4950602794804","1300","2583500","3.0269266480965644","1077500","8.354939720519724","2.844638949671774","-0.6178732047004207","1380","0.654292343387471","0.006539000467071565","705000","1100","1317000","-5.800000000000182","15.573770491803279","1360","1450","1400","-0.8824093612123551","2.3234696017377","0.729441226646169","1.8945589165652255","-4.76575107163451","0.576621987938758","1386.8285714285714","5.44327554228069","33.1252078018137","51.7674009131204","62.258248009101294","-37.741751990898706","63.5453565378099","63.974201918016206"
Grasim Industries Ltd,GRASIM,"Cement","50733.22903861","-3.229676043194232","54.5454545454545","22","29","60","4","4.493243243243244","-2.7000000000000455","0.7727272727272787","773.7722205677843","740","17571200","0.6952987110231588","1339500","-3.772220567784302","10.3395061728395","-0.0467121810995329","700","0.5070921985815603","0.08545034642032334","679250","700","2520350","5.9500000000000455","0.4213483146067398","770","900","800","-0.32871692622730153","4.3124919845293","1.00483415807121","4.3597789984198165","3.131294673718584","0.6811282850748297","704.5785714285714","-16.1904496560364","28.3194815273323","51.6918034848082","93.59286293592874","-6.407137064071263","68.2190234264748","85.17335127400939"
Bandhan Bank Ltd,BANDHANBNK,"Private Banks","50404.6162125","24.290765432098773","65",,,,,"8.866666666666667","0.25","0.5586592178770949","313.43432773096475","300","12594600","3.5168838447526976","6568200","-0.1843277309647533","-2.0566981656475862","-0.4633095157082908","300","0.4828720197314333","-0.03286509408958393","3171600","270","8517600","1.75","0","330","400","330","1.8337942075389302","6.3359945642942",,"2.9302881883387144","19.8716981004507","0.7164374233550579","289.4464285714286","-14.8886940587309","35.412724060631","88.6839019397723","70.40185471406495","-29.598145285935058","71.5439856373429","73.6944637564025"
Ambuja Cements Ltd,AMBUJACEM,"Cement","49244.001679199995","-6.386274912677213","75","48","51","90","76","6.598648648648648","0.5","-0.1006036217303823","248.34413187629158","200","16842000","7.312217194570136","4071000","0.15586812370841585","10.26957637997432","0.48996832101372756","245","0.6330140014738393","0.05850234009360378","2577000","245","12699000","-0.25","23.06590257879657","290","280","250","9.884517518105307","10.3914891722864","1.04881132765227","8.006896157044352","14.119604820017578","1.814944166653636","218.5392857142857","-5.12203012290826","42.6259438465736","40.1094277214953","95.50056242969629","-4.499437570303713","91.7485265225933","92.44850554253054"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","48635.763717840004","24.444444444444443","64.7058823529412","24","14","68","40","5.682608695652174",,,,,,,,,,,,,,,,,,,,,,,"1.3582691358436",,"-0.4804280154050766","-3.024009115273608","0.5908579864060841","2218.1678571428574","16.1068967669428","35.074320979437","41.822969269288905","63.43389350070873","-36.56610649929127","69.8980176463848","71.43731676239503"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","47540.91345708","14.21834042183839","76.9230769230769","76","91","17","95","6.174","2.400000000000091","0.34527769590297774","1186.6944091935457","1000","3694500","1.8069815195071868","1253250","0.7555908064543928","14.38053097345133","0.7961832061068703","940","0.6187911430281269","-0.07372505543237251","775500","1220","5294250","4.099999999999909","19.53757225433526","1200","1280","1200","3.770802612176105","5.7061048274878","1.32696223617591","3.838682035614127","2.436581128585046","0.5897525861329344","1068.9499999999998","27.3816228508665","27.9268426078793","60.4767648936075","85.5421686746987","-14.457831325301301","71.9891745602165","78.16750340381572"
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","47241.300350624995","22.222923902747084","83.3333333333333","63","84","81","82","5.701333333333334","2.9500000000000455","0.31512605042016245","807.368775505081","800","14284400","2.9650760719225446","4535700","1.83122449491907","-3.5860655737704925","-0.03496776714201988","760","0.5394095729435369","-0.02921535893155258","2446600","800","6422000","2.5499999999999545","7.912844036697253","800","800","860","-1.8578063594140715","-0.19280583554869998","1.01709698569743","-0.9239380206006564","-2.3651717935489707","0.7357786778540212","876.8857142857142","2.57688006036613","26.4130480104498","66.4733593991292","45.9183673469388","-54.0816326530612","59.7376675220987","50.92111572496855"
Lupin Ltd,LUPIN,"Pharmaceuticals","47155.124245319996","-11.442379552588305","41.6666666666667","32","89","73","50","4.026666666666666","-2.7000000000000455","0.5444733545340525","1041.8436887261846","1000","6844200","3.40360381580497","2585700","-4.143688726184564","3.6375661375661386","0.39815040155755654","900","0.5151216305062459","-0.08566275924256084","1331950","900","4883250","5.649999999999864","-2.123672704559654","1140","1120","1100","-1.383955909369261","1.2636051069793999","0.547670628849166","1.9534441522033985","12.961560208193026","0.8161432172406298","1113.8","3.63276226716482","24.5914215275781","41.2185776079517","55.64402810304458","-44.355971896955424","59.4705613874943","44.636970664709544"
Marico Ltd,MARICO,"FMCG - Personal Products","46807.118239999996","8.182444536309752","53.8461538461538","28","73","90","44","5.7318181818181815","1.150000000000034","-0.371236078647057","363.0030153433697","360","9954000","2.2114997989545637","1782000","0.646984656630309","2.341137123745818","-0.3159851301115242","345","0.3434343434343434","-0.07380457380457384","612000","345","2208000","-1.3500000000000227","2.684563758389258","360","420","380","2.4284832270014434","0.494154012489","0.337396876381801","-0.4237815243205767","-5.197367403203797","1.2579686560727685","341.5357142857142","3.45635945679578","30.3202783302514","31.952677913070897","34.04669260700391","-65.9533073929961","57.8534031413613","49.9422172227753"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","46438.098822399996","-4.86838527120387","51.7241379310345","26","88","62","62","3.966","1.7999999999997272","0.33321194464676224","2748.0079302214494","2600","942500","2.104097452934662","212000","-2.007930221449442","1.234567901234573","-0.4829831311038769","2400","0.3867924528301887","0.0143540669856459","82000","2700","873500","9.150000000000091","3.1446540880503138","2750","3200","3000","6.92002268859897","-0.8612592303579","0.6078777059384","-1.2177717351507855","-1.0961483715399127","0.6818162895384553","2889.1035714285713","25.5879279354565","21.2690023326347","40.4137846520879","33.80993897122923","-66.19006102877077","52.6494637357969","42.38688988672147"
